SensorID,time,latitude,longitude,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,temperature,humidity,pm25,datetime_series,PerTime,Perhour,Permonth,Perday,geohash,geometry,count
NYCP2_CS01A,1631277735,40.85,-73.9,50,6,6,0,8,3,4,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,22.5,59.9,5.564329603,2021-09-10 12:42:15,12:42:15,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277740,40.85,-73.9,39,8,4,2,4,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,60.3,5.93063791,2021-09-10 12:42:20,12:42:20,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277745,40.85,-73.9,32,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,59.8,4.580318526,2021-09-10 12:42:25,12:42:25,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277750,40.85,-73.9,37,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,60.0,6.263595161,2021-09-10 12:42:30,12:42:30,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277755,40.85,-73.9,43,9,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,60.5,5.273500624,2021-09-10 12:42:35,12:42:35,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277760,40.85,-73.9,47,4,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,61.1,6.629970357,2021-09-10 12:42:40,12:42:40,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277765,40.85,-73.9,46,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,61.6,5.15556929,2021-09-10 12:42:45,12:42:45,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277770,40.85,-73.9,48,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,62.1,5.569460937,2021-09-10 12:42:50,12:42:50,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277775,40.85,-73.9,40,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,62.9,4.664707767,2021-09-10 12:42:55,12:42:55,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277780,40.85,-73.9,31,3,2,1,3,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,62.1,5.897868505,2021-09-10 12:43:00,12:43:00,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277785,40.85,-73.9,38,7,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,60.6,5.737034743,2021-09-10 12:43:05,12:43:05,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277790,40.85,-73.9,39,3,0,0,3,1,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,22.4,60.1,6.58698834,2021-09-10 12:43:10,12:43:10,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277795,40.85,-73.9,25,4,3,3,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,60.0,5.910932835,2021-09-10 12:43:15,12:43:15,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277800,40.85,-73.9,46,12,7,2,7,9,14,9,4,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,22.4,60.1,5.193615944,2021-09-10 12:43:20,12:43:20,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277805,40.85,-73.9,36,11,4,2,0,3,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,59.8,5.910932835,2021-09-10 12:43:25,12:43:25,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277810,40.85,-73.9,37,2,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,59.8,5.842771755,2021-09-10 12:43:30,12:43:30,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277815,40.85,-73.9,32,6,6,0,4,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22.3,59.8,5.878183097,2021-09-10 12:43:35,12:43:35,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277820,40.85,-73.9,40,3,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.3,60.0,6.444618135,2021-09-10 12:43:40,12:43:40,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277825,40.85,-73.9,33,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,60.3,5.575797664,2021-09-10 12:43:45,12:43:45,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277830,40.85,-73.9,37,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,59.8,6.629970357,2021-09-10 12:43:50,12:43:50,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277835,40.85,-73.9,31,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,59.4,5.737034743,2021-09-10 12:43:55,12:43:55,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277840,40.85,-73.9,25,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.2,59.1,5.52382643,2021-09-10 12:44:00,12:44:00,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277845,40.85,-73.9,27,3,3,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,59.0,5.945531547,2021-09-10 12:44:05,12:44:05,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277850,40.84,-73.9,34,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,59.2,5.34315049,2021-09-10 12:44:10,12:44:10,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277855,40.84,-73.9,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,59.2,4.435000779,2021-09-10 12:44:15,12:44:15,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277860,40.84,-73.9,28,14,5,2,6,3,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22.1,59.3,5.564329603,2021-09-10 12:44:20,12:44:20,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277865,40.84,-73.9,34,7,4,2,4,4,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,22.1,59.3,5.302324412,2021-09-10 12:44:25,12:44:25,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277870,40.84,-73.9,36,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,59.1,6.20871285,2021-09-10 12:44:30,12:44:30,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277875,40.84,-73.9,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,59.3,4.435000779,2021-09-10 12:44:35,12:44:35,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277880,40.84,-73.9,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,59.3,5.569460937,2021-09-10 12:44:40,12:44:40,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277885,40.84,-73.9,17,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,59.4,5.361581193,2021-09-10 12:44:45,12:44:45,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277890,40.84,-73.9,31,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,59.4,5.361581193,2021-09-10 12:44:50,12:44:50,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277895,40.84,-73.9,31,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,59.4,5.810315848,2021-09-10 12:44:55,12:44:55,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
NYCP2_CS01A,1631277900,40.84,-73.9,29,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,59.5,5.320312264,2021-09-10 12:45:00,12:45:00,12,September,Friday,dr72r5,POINT (-73.9 40.84),1
